id,writer,,title,dateline,day,period,place
160-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Sunday, April 30",1747-04-30,,
161-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Monday Night, May 1",1747-05-01,night,
162-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Monday Midnight,1747-05-01,night,
163-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Tuesday, May 2",1747-05-02,,
164-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe",Wedn. May 3,1747-05-03,,
165-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Thursday, May 4",1747-05-04,,
166-000,charles-hickman,,"Mr. Hickman, to Miss Clarissa Harlowe","Friday, May 5",1747-05-05,,
167-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday, May 2",1747-05-02,,
168-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday, May 2",1747-05-02,,
169-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Edgware, Tuesday Night, May 2",1747-05-02,night,Edgware
170-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Wednesday, May 3",1747-05-03,,
171-000,robert-lovelace,,Mr. Lovelace,,1747-05-03,,
172-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Edgeware, Thursday, May 4",1747-05-04,,Edgware
173-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-05-05,,
173-001,william-morden,,,"Florence, April 13.",1747-04-13,,Florence
174-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Sunday Night, May 7",1747-05-07,night,
175-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday, May 9",1747-05-09,,
176-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Tuesday, May 9",1747-05-09,,
177-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Wednesday, May 10",1747-05-10,,
178-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday, May 12",1747-05-12,,
179-000,annabella-howe,,"Miss Howe, to Mrs. Judith Norton","Thursday, May 11",1747-05-11,,
180-000,judith-norton,,"Mrs. Norton, to Miss Howe","Saturday, May 13",1747-05-13,,
181-000,annabella-howe,,"Miss Howe, to Mrs. Judith Norton","Saturday Evening, May 13",1747-05-13,evening,
182-000,charlotte-harlowe,,"Mrs. Harlowe, to Mrs. Norton","Saturday, May 13",1747-05-13,,
183-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Sunday, May 14",1747-05-14,,
184-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Monday Afternoon, May 15",1747-05-15,afternoon,
185-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Tuesday, May 16",1747-05-16,,
186-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Tuesday Night, May 16",1747-05-16,night,
186-001,robert-lovelace,,,,1747-05-16,,
187-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Wednesday Morning, May 17",1747-05-17,morning,
188-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Thursday, May 18",1747-05-18,,
189-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Wednesday, May 17",1747-05-17,,
190-000,lord-montague,,"Lord M. to John Belford, Esq.","M. Hall, Monday, May 15",1747-05-15,,M. Hall
191-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Friday Night, May 19",1747-05-19,night,
191-001,robert-lovelace,,,,1747-05-19,,
192-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Saturday, May 20",1747-05-20,,
193-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Saturday, May 20",1747-05-20,,
194-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-05-20,,
195-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday, May 19",1747-05-19,,
196-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Saturday, May 20",1747-05-20,,
197-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Sat. Sunday, May 20, 21",1747-05-20,,
197-001,antony-harlowe,,,"Monday, May 15.",1747-04-15,,
198-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Sunday, May 21",1747-05-21,,
199-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-05-21,,
200-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Sunday Morning, Seven o’clock",1747-05-21,morning,
201-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Monday Morning, May 22",1747-05-22,morning,
202-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday Morning, May 23",1747-05-23,morning,
202-001,clarissa-harlowe,,,May 20,1747-05-20,,
203-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday, May 23",1747-05-23,,
203-001,charlotte-montague,,,"M. Hall, May 22.",1747-05-22,,
204-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Wednesday, May 24",1747-05-24,,
205-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-05-24,,
206-000,lord-montague,,"Lord M. to Robert Lovelace, Esq.","Tuesday, May 23",1747-05-23,,
207-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Thursday, May 25",1747-05-25,,
208-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-05-25,,
209-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-05-25,,
210-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Friday Evening,1747-05-26,evening,
211-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Cocoa-Tree, Saturday, May 27",1747-05-27,,Cocoa-Tree
212-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Saturday, May 27",1747-05-27,,
213-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Sat. Evening,1747-05-27,evening,
214-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Sunday, May 28",1747-05-28,,
215-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Sunday Night,1747-05-28,night,
216-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Monday, May 29",1747-05-29,,
217-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-05-29,,
218-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday, May 30",1747-05-30,,
219-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Friday, June 2",1747-06-02,,
220-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Monday, June 5",1747-06-05,,
221-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Monday Afternoon,1747-06-05,afternoon,
